"id","text","expected_label","expected_terms","notes"
"M01","The chairman opened the meeting and assigned tasks to the team.","MALE-BIASED","chairman","male-gendered occupational title"
"M02","The company needs more manpower to finish the warehouse migration.","MALE-BIASED","manpower","male-centric compound noun"
"M03","Every businessman in the room reviewed the quarterly proposal.","MALE-BIASED","businessman","male-gendered occupational term"
"M04","Several businessmen attended the investor briefing before lunch.","MALE-BIASED","businessmen","plural male-gendered occupational term"
"M05","The fireman arrived before the emergency response report was filed.","MALE-BIASED","fireman","male-gendered job title"
"M06","The firemen completed the rescue drill after sunset.","MALE-BIASED","firemen","plural male-gendered job title"
"M07","A policeman directed traffic outside the school entrance.","MALE-BIASED","policeman","male-gendered job title"
"M08","The policemen escorted visitors through the restricted area.","MALE-BIASED","policemen","plural male-gendered job title"
"M09","The report said mankind has always depended on innovation.","MALE-BIASED","mankind","gender-exclusive term"
"M10","The brochure described the device as a man-made solution.","MALE-BIASED","man-made","gender-exclusive compound"
"M11","The mailman delivered the notice to the front desk.","MALE-BIASED","mailman","male-gendered job title"
"M12","The congressman sponsored the local education bill.","MALE-BIASED","congressman","male-gendered political title"
"M13","Three congressmen attended the hearing on public safety.","MALE-BIASED","congressmen","plural male-gendered political title"
"M14","The cameraman recorded the ceremony from the balcony.","MALE-BIASED","cameraman","male-gendered job title"
"M15","The salesman called every client before the product launch.","MALE-BIASED","salesman","male-gendered job title"
"M16","The salesmen prepared the booths for the trade show.","MALE-BIASED","salesmen","plural male-gendered job title"
"M17","The spokesman answered questions after the press conference.","MALE-BIASED","spokesman","male-gendered job title"
"M18","The foreman approved the final construction schedule.","MALE-BIASED","foreman","male-gendered job title"
"M19","The repairman fixed the office printer before noon.","MALE-BIASED","repairman","male-gendered job title"
"M20","The policy gives male employees first access to leadership training.","MALE-BIASED","male employees","unnecessary gender qualifier"
"F01","The stewardess welcomed passengers as they boarded the aircraft.","FEMALE-BIASED","stewardess","female-gendered job title"
"F02","The housewife prepared refreshments for the committee meeting.","FEMALE-BIASED","housewife","female-gendered domestic role"
"F03","The lady doctor reviewed the patient chart before surgery.","FEMALE-BIASED","lady doctor","unnecessary gender qualifier"
